raw,monotone,lisse,reciproque,verif
-2.208448171,-2.296050,-2.296050,-2.208448,-1.655831
-2.300411224,-2.295151,-2.295151,-2.300411,-2.076592
-2.365374088,-2.294383,-2.294383,-2.365374,-2.247502
-2.271464586,-2.293685,-2.293685,-2.271465,-1.956740
-2.327147722,-2.293025,-2.293025,-2.327148,-2.153649
-2.289378166,-2.292101,-2.292101,-2.289378,-2.013061
-2.276553153,-2.290953,-2.290953,-2.276553,-1.970057
-2.357260227,-2.289107,-2.289107,-2.357260,-2.225902
-2.1959908,-2.287261,-2.287261,-2.195991,-1.632298
-2.293531894,-2.285562,-2.285562,-2.293532,-2.034392
-2.281225681,-2.283473,-2.283473,-2.281226,-1.983090
-2.333340883,-2.281264,-2.281264,-2.333341,-2.169201
-2.280422925,-2.278936,-2.278936,-2.280423,-1.980611
-2.342678785,-2.276608,-2.276608,-2.342679,-2.190839
-2.242721557,-2.274232,-2.274232,-2.242722,-1.888141
-2.277399778,-2.271798,-2.271798,-2.277400,-1.972321
-2.352619886,-2.269365,-2.269365,-2.352620,-2.214015
-2.248676061,-2.266700,-2.266700,-2.248676,-1.904917
-2.33854866,-2.264036,-2.264036,-2.338549,-2.181585
-2.307633161,-2.261348,-2.261348,-2.307633,-2.102448
-2.272076606,-2.258620,-2.258620,-2.272077,-1.958294
-2.265805244,-2.255622,-2.255622,-2.265805,-1.942668
-2.262853384,-2.252623,-2.252623,-2.262853,-1.935742
-2.21948266,-2.249608,-2.249608,-2.219483,-1.676917
-2.155942916,-2.246857,-2.246857,-2.155943,-1.407940
-1.951524734,-2.244474,-2.244474,-1.951525,-0.542430
-2.363889932,-2.242993,-2.242993,-2.363890,-2.243721
-2.129316806,-2.241511,-2.241511,-2.129317,-1.150767
-2.152969837,-2.240196,-2.240196,-2.152970,-1.341717
-2.238123893,-2.239270,-2.239270,-2.238124,-1.860221
-2.290126323,-2.238463,-2.238463,-2.290126,-2.016510
-2.292359113,-2.237776,-2.237776,-2.292359,-2.026801
-2.313387393,-2.237089,-2.237089,-2.313387,-2.117321
-2.222067594,-2.236450,-2.236450,-2.222068,-1.682510
-2.324432611,-2.235869,-2.235869,-2.324433,-2.146704
-2.22206521,-2.235287,-2.235287,-2.222065,-1.682505
-2.327907085,-2.234937,-2.234937,-2.327907,-2.155591
-2.251043319,-2.234587,-2.234587,-2.251043,-1.909871
-2.29330039,-2.234259,-2.234259,-2.293300,-2.032829
-2.174157381,-2.233972,-2.233972,-2.174157,-1.593207
-2.329741716,-2.233955,-2.233955,-2.329742,-2.160284
