raw,monotone,lisse,reciproque,verif
-2.112630367,-2.118002,-2.118002,-2.112630,-1.750166
-2.19212079,-2.116378,-2.116378,-2.192121,-1.976092
-1.434645175,-2.114754,-2.114754,-1.434645,-0.302270
-2.283159494,-2.113130,-2.113130,-2.283159,-2.246887
-1.917761206,-2.111506,-2.111506,-1.917761,-1.302561
-2.10066986,-2.109881,-2.109881,-2.100670,-1.706714
-2.208067417,-2.108257,-2.108257,-2.208067,-2.010606
-2.105080604,-2.106633,-2.106633,-2.105081,-1.721017
-2.210685491,-2.105009,-2.105009,-2.210685,-2.017683
-2.164273023,-2.103385,-2.103385,-2.164273,-1.930218
-2.157672882,-2.101761,-2.101761,-2.157673,-1.920574
-2.274320602,-2.099262,-2.099262,-2.274321,-2.225100
-1.880374431,-2.091840,-2.091840,-1.880374,-1.134297
-2.171952247,-2.084889,-2.084889,-2.171952,-1.942209
-2.102214813,-2.077336,-2.077336,-2.102215,-1.711346
-2.137224435,-2.068786,-2.068786,-2.137224,-1.889543
-2.24712944,-2.060181,-2.060181,-2.247129,-2.154640
-2.160214185,-2.051113,-2.051113,-2.160214,-1.924119
-1.904744982,-2.042092,-2.042092,-1.904745,-1.151697
-2.240425586,-2.033834,-2.033834,-2.240426,-2.134692
-2.100168228,-2.025576,-2.025576,-2.100168,-1.705210
-2.206973552,-2.017317,-2.017317,-2.206974,-2.007649
-2.10817933,-2.009059,-2.009059,-2.108179,-1.732981
-2.128084897,-2.000801,-2.000801,-2.128085,-1.852962
-2.150673389,-1.992542,-1.992542,-2.150673,-1.910834
-2.185784816,-1.983560,-1.983560,-2.185785,-1.964742
-2.102000951,-1.974577,-1.974577,-2.102001,-1.710704
-1.923492074,-1.965594,-1.965594,-1.923492,-1.517613
-1.868809461,-1.956611,-1.956611,-1.868809,-1.126753
-1.556605815,-1.947628,-1.947628,-1.556606,-0.404191
-0.496633231,-1.939520,-1.939520,-0.496633,0.404634
-2.270534992,-1.936335,-1.936335,-2.270535,-2.215078
-1.564223885,-1.933151,-1.933151,-1.564224,-0.410768
-1.663856625,-1.930569,-1.930569,-1.663857,-0.615103
-2.072310209,-1.929202,-1.929202,-2.072310,-1.676168
-2.079987287,-1.928014,-1.928014,-2.079987,-1.682176
-2.173816204,-1.927290,-1.927290,-2.173816,-1.945193
-2.109428644,-1.926565,-1.926565,-2.109429,-1.737804
-2.082864999,-1.925841,-1.925841,-2.082865,-1.684602
-2.127604246,-1.925116,-1.925116,-2.127604,-1.848942
-2.142975091,-1.924392,-1.924392,-2.142975,-1.900150
-2.196923494,-1.923667,-1.923667,-2.196923,-1.985203
-2.143887758,-1.922943,-1.922943,-2.143888,-1.901417
-1.760401487,-1.922218,-1.922218,-1.760401,-1.060392
-2.232264518,-1.922218,-1.922218,-2.232265,-2.111245
-2.106624841,-1.922218,-1.922218,-2.106625,-1.726979
-2.056917905,-1.922218,-1.922218,-2.056918,-1.665025
-2.241139888,-1.922218,-1.922218,-2.241140,-2.136981
-2.082343101,-1.922218,-1.922218,-2.082343,-1.684162
-2.089129686,-1.922218,-1.922218,-2.089130,-1.690112
-2.135730266,-1.922218,-1.922218,-2.135730,-1.886565
-2.167120695,-1.922218,-1.922218,-2.167121,-1.934545
-1.905685186,-1.922218,-1.922218,-1.905685,-1.152462
-2.232953071,-1.922218,-1.922218,-2.232953,-2.112940
-1.763873934,-1.922218,-1.922218,-1.763874,-1.062440
-2.056376695,-1.922218,-1.922218,-2.056377,-1.664649
-2.165225267,-1.922218,-1.922218,-2.165225,-1.931654
-2.02513647,-1.922218,-1.922218,-2.025136,-1.641926
-2.227194309,-1.922218,-1.922218,-2.227194,-2.098184
-1.841803431,-1.922218,-1.922218,-1.841803,-1.109411
-2.079625368,-1.922218,-1.922218,-2.079625,-1.681871
-2.182314157,-1.922218,-1.922218,-2.182314,-1.959022
-2.058129549,-1.922218,-1.922218,-2.058130,-1.665868
-2.128549814,-1.922218,-1.922218,-2.128550,-1.856850
-2.084954261,-1.922218,-1.922218,-2.084954,-1.686363
-1.670977354,-1.922218,-1.922218,-1.670977,-0.627878
-2.228987216,-1.922218,-1.922218,-2.228987,-2.103025
-1.41590476,-1.922218,-1.922218,-1.415905,-0.284396
-1.843047022,-1.922218,-1.922218,-1.843047,-1.110207
-2.133211612,-1.922218,-1.922218,-2.133212,-1.877402
